iter	Logloss
0	0.6764667422
1	0.6633078109
2	0.6538588945
3	0.6439818892
4	0.634856468
5	0.6210623896
6	0.6157287775
7	0.6034042891
8	0.593173892
9	0.5830742148
10	0.5751804973
11	0.5691798454
12	0.5633772029
13	0.5598753996
14	0.5571427456
15	0.5507867946
16	0.5435344341
17	0.5381143703
18	0.5341031718
19	0.5295025138
20	0.5215098802
21	0.5168039189
22	0.5114660928
23	0.5093067968
24	0.5055707887
25	0.5017010445
26	0.4986564281
27	0.493235832
28	0.4906772347
29	0.4844023239
30	0.4805823925
31	0.4748316033
32	0.4703588708
33	0.4661515258
34	0.4620246887
35	0.4562912431
36	0.4501168894
37	0.446554317
38	0.4442593331
39	0.4383720575
40	0.431308081
41	0.4245110889
42	0.4213634314
43	0.4149964355
44	0.4106974047
45	0.4054654144
46	0.4011521894
47	0.3970391917
48	0.3938564478
49	0.3899867923
50	0.3882701785
51	0.3855953217
52	0.3815491699
53	0.3759024864
54	0.3749068504
55	0.371117614
56	0.3632410183
57	0.3600622221
58	0.3557678489
59	0.3523903337
60	0.3443966799
61	0.3394786036
62	0.3327791303
63	0.3259827148
64	0.3221715439
65	0.3174172778
66	0.3118328937
67	0.3085506794
68	0.3037609721
69	0.2991820491
70	0.2936428868
71	0.289159309
72	0.2851620608
73	0.2787272875
74	0.2728609928
75	0.2697551639
76	0.2662650264
77	0.263376613
78	0.2587153413
79	0.2551404376
80	0.2471507316
81	0.2428420089
82	0.2380726393
83	0.2350133408
84	0.2312655782
85	0.2287276956
86	0.2265506789
87	0.2240628531
88	0.2204549479
89	0.2178345614
90	0.2119475964
91	0.2080640127
92	0.2047131117
93	0.2013615231
94	0.1984049331
95	0.1951674528
96	0.1923481254
97	0.1907223103
98	0.1885035093
99	0.185754399
100	0.1835678788
101	0.1822378913
102	0.1798888473
103	0.1787308759
104	0.1771797801
105	0.1747184465
106	0.1720225312
107	0.1704974618
108	0.1668189958
109	0.1659569075
110	0.1638096211
